procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    356 1676124 190932 4159236    0    0    61    63  379  765  9  2 89  0  0
 0  0    356 1668120 190932 4159240    0    0     0     4  256  306  0  0 100  0  0
 0  0    356 1665600 190940 4151052    0    0     0   132  231  322  0  0 99  1  0
 0  0    356 1670340 190940 4141020    0    0     0     0  145  230  0  0 100  0  0
 0  0    356 1660140 190940 4140812    0    0     0     0  127  176  0  0 100  0  0
 0  0    356 1649556 190940 4140812    0    0     0     0  153  230  0  0 100  0  0
 0  0    356 1653612 190940 4132832    0    0     0     0  204  368  0  0 100  0  0
 1  0    356 1643088 190940 4132556    0    0     0     0  215  312  0  0 100  0  0
 0  0    356 1632756 190948 4132556    0    0     0    36  189  266  0  0 100  0  0
 0  0    356 1622676 190948 4132556    0    0     0     0  138  213  0  0 100  0  0
 0  0    356 1612344 190948 4132556    0    0     0     0  167  247  0  0 100  0  0
 0  0    356 1711884 190948 4132556    0    0     0     0  201  265  0  0 100  0  0
 0  0    356 1711884 190948 4132556    0    0     0   736  261  275  0  0 100  0  0
 0  0    356 1711884 190948 4132556    0    0     0     0  157  214  0  0 100  0  0
 0  0    356 1711884 190956 4132556    0    0     0    24  170  264  0  0 100  0  0
